polarity,tweetId,dateTime,query,username,tweet,likes,retweets
0,1467835305,Mon Apr 06 22:26:10 PDT 2009,NO_QUERY,MissLaura317,"@januarycrimson Sorry, babe!!  My fam annoys me too. Thankfully, they're asleep right now. Muahaha. *evil laugh*",844,236
0,1467998795,Mon Apr 06 23:11:18 PDT 2009,NO_QUERY,gerrymoth,"Just been playing with the new Mobbler v0.4.0 and it adds some great new features, but won't play music on my E71, like v0.3.5 did ",1620,81
0,1468051981,Mon Apr 06 23:27:38 PDT 2009,NO_QUERY,Celz29,@adame ruddy money!! i like it!! still waiting here.... oh what a surprise... by state too?? hmmm....... seriously!! ,1709,274
0,1468120199,Mon Apr 06 23:49:29 PDT 2009,NO_QUERY,Celz29,@KristenjStewart just watched the trailer for adventureland on itunes looks so funny!! pity i don't think we get it in Australia ,2038,153
0,1468276331,Tue Apr 07 00:41:45 PDT 2009,NO_QUERY,amazingphoebe,i miss @sebby_peek ,592,42
0,1468294780,Tue Apr 07 00:48:15 PDT 2009,NO_QUERY,pearlbones,tooo early. im running late. ,2362,128
0,1468444945,Tue Apr 07 01:42:43 PDT 2009,NO_QUERY,kateblogs,@rhyswynne That's a pest  Grr to spam!,1550,57
0,1468445118,Tue Apr 07 01:42:47 PDT 2009,NO_QUERY,scribblegurl,"@ODannyGirl7 oh yesses.  i have &quot;road rash&quot; all over my hip.  lovely, ay?  i so ROCK!",2982,88
0,1468571262,Tue Apr 07 02:28:59 PDT 2009,NO_QUERY,Celz29,trying to check my phone bill online seems like it doesn't like me though! ,1020,241
0,1468580924,Tue Apr 07 02:32:14 PDT 2009,NO_QUERY,Tittch,"I am a work martyr. Give me chocolate, coffee and sympathy. And now my cat's decided she's dying ",254,271
0,1468603209,Tue Apr 07 02:40:20 PDT 2009,NO_QUERY,Tittch,It's so upsetting. Ami's in agony and the vet can't see her until 6pm. My poor little thing ,48,97
0,1468767649,Tue Apr 07 03:37:43 PDT 2009,NO_QUERY,caseysevenfold,@pyroroux  your mean,1574,220
0,1468951179,Tue Apr 07 04:33:19 PDT 2009,NO_QUERY,tannwick,"Not much achieved, time to rethink plans for day  Neck pain not helping matters.",2102,215
0,1469000257,Tue Apr 07 04:46:54 PDT 2009,NO_QUERY,Celz29,i still want more followers.... celebrities!! for my challenge is not working too well!! ,2198,129
0,1469024592,Tue Apr 07 04:53:19 PDT 2009,NO_QUERY,Celz29,mr twitter what r u doing? i can't send direct messages anymore!! ,2823,35
0,1469474504,Tue Apr 07 06:29:39 PDT 2009,NO_QUERY,amazingphoebe,"@sebby_peek i'll miss you more  night  love you too, so much ",2605,264
0,1469723474,Tue Apr 07 07:13:49 PDT 2009,NO_QUERY,gerrymoth,"1st call to 3uk about mobbler/last.fm problem, is being investigated and they will get back to me in 48hrs ",2654,100
0,1548545376,Fri Apr 17 21:15:10 PDT 2009,NO_QUERY,Sims_Galore,well time to pack up now ,65,137
0,1548557569,Fri Apr 17 21:17:19 PDT 2009,NO_QUERY,its_me_betty,@lisasamples oh no really? What a bummer. ,95,203
0,1548641597,Fri Apr 17 21:32:02 PDT 2009,NO_QUERY,MissLaura317,"@xoh_snap June 16th!  So far away. I'm excited! BUT I might go alone, even though I bought two tix. Sadness. ",2531,155
0,1550679791,Sat Apr 18 06:55:24 PDT 2009,NO_QUERY,caseysevenfold,beddies now. Nighty night. My head hurts ,1775,25
0,1550751619,Sat Apr 18 07:09:32 PDT 2009,NO_QUERY,amazingphoebe,fhrjekdfnb where are youuuu? ,1590,217
