polarity,tweetId,dateTime,query,username,tweet,likes,retweets,ParseDate,Weekday,Day,Month,Year,yearMonth,Date,Entity
0,1467835305,Mon Apr 06 22:26:10 PDT 2009,NO_QUERY,MissLaura317,"@januarycrimson Sorry, babe!!  My fam annoys me too. Thankfully, they're asleep right now. Muahaha. *evil laugh*",844,236,4/6/2009 22:26,0,Monday,April,2009,2009_April,6,@januarycrimson
0,1467998795,Mon Apr 06 23:11:18 PDT 2009,NO_QUERY,gerrymoth,"Just been playing with the new Mobbler v0.4.0 and it adds some great new features, but won't play music on my E71, like v0.3.5 did ",1620,81,4/6/2009 23:11,0,Monday,April,2009,2009_April,6,features
0,1468051981,Mon Apr 06 23:27:38 PDT 2009,NO_QUERY,Celz29,@adame ruddy money!! i like it!! still waiting here.... oh what a surprise... by state too?? hmmm....... seriously!! ,1709,274,4/6/2009 23:27,0,Monday,April,2009,2009_April,6,money
0,1468120199,Mon Apr 06 23:49:29 PDT 2009,NO_QUERY,Celz29,@KristenjStewart just watched the trailer for adventureland on itunes looks so funny!! pity i don't think we get it in Australia ,2038,153,4/6/2009 23:49,0,Monday,April,2009,2009_April,6,@KristenjStewart
0,1468276331,Tue Apr 07 00:41:45 PDT 2009,NO_QUERY,amazingphoebe,i miss @sebby_peek ,592,42,4/7/2009 0:41,1,Tuesday,April,2009,2009_April,7,@sebby_peek
0,1468294780,Tue Apr 07 00:48:15 PDT 2009,NO_QUERY,pearlbones,tooo early. im running late. ,2362,128,4/7/2009 0:48,1,Tuesday,April,2009,2009_April,7,im
0,1468444945,Tue Apr 07 01:42:43 PDT 2009,NO_QUERY,kateblogs,@rhyswynne That's a pest  Grr to spam!,1550,57,4/7/2009 1:42,1,Tuesday,April,2009,2009_April,7,pest Grr
0,1468445118,Tue Apr 07 01:42:47 PDT 2009,NO_QUERY,scribblegurl,"@ODannyGirl7 oh yesses.  i have &quot;road rash&quot; all over my hip.  lovely, ay?  i so ROCK!",2982,88,4/7/2009 1:42,1,Tuesday,April,2009,2009_April,7,yesses
0,1468571262,Tue Apr 07 02:28:59 PDT 2009,NO_QUERY,Celz29,trying to check my phone bill online seems like it doesn't like me though! ,1020,241,4/7/2009 2:28,1,Tuesday,April,2009,2009_April,7,phone bill
0,1468580924,Tue Apr 07 02:32:14 PDT 2009,NO_QUERY,Tittch,"I am a work martyr. Give me chocolate, coffee and sympathy. And now my cat's decided she's dying ",254,271,4/7/2009 2:32,1,Tuesday,April,2009,2009_April,7,work martyr
0,1468603209,Tue Apr 07 02:40:20 PDT 2009,NO_QUERY,Tittch,It's so upsetting. Ami's in agony and the vet can't see her until 6pm. My poor little thing ,48,97,4/7/2009 2:40,1,Tuesday,April,2009,2009_April,7,Ami
0,1468767649,Tue Apr 07 03:37:43 PDT 2009,NO_QUERY,caseysevenfold,@pyroroux  your mean,1574,220,4/7/2009 3:37,1,Tuesday,April,2009,2009_April,7,none
0,1468951179,Tue Apr 07 04:33:19 PDT 2009,NO_QUERY,tannwick,"Not much achieved, time to rethink plans for day  Neck pain not helping matters.",2102,215,4/7/2009 4:33,1,Tuesday,April,2009,2009_April,7,plans
0,1469000257,Tue Apr 07 04:46:54 PDT 2009,NO_QUERY,Celz29,i still want more followers.... celebrities!! for my challenge is not working too well!! ,2198,129,4/7/2009 4:46,1,Tuesday,April,2009,2009_April,7,followers
0,1469024592,Tue Apr 07 04:53:19 PDT 2009,NO_QUERY,Celz29,mr twitter what r u doing? i can't send direct messages anymore!! ,2823,35,4/7/2009 4:53,1,Tuesday,April,2009,2009_April,7,ru
0,1469474504,Tue Apr 07 06:29:39 PDT 2009,NO_QUERY,amazingphoebe,"@sebby_peek i'll miss you more  night  love you too, so much ",2605,264,4/7/2009 6:29,1,Tuesday,April,2009,2009_April,7,@sebby_peek
0,1469723474,Tue Apr 07 07:13:49 PDT 2009,NO_QUERY,gerrymoth,"1st call to 3uk about mobbler/last.fm problem, is being investigated and they will get back to me in 48hrs ",2654,100,4/7/2009 7:13,1,Tuesday,April,2009,2009_April,7,call
0,1548545376,Fri Apr 17 21:15:10 PDT 2009,NO_QUERY,Sims_Galore,well time to pack up now ,65,137,4/17/2009 21:15,4,Friday,April,2009,2009_April,17,none
0,1548557569,Fri Apr 17 21:17:19 PDT 2009,NO_QUERY,its_me_betty,@lisasamples oh no really? What a bummer. ,95,203,4/17/2009 21:17,4,Friday,April,2009,2009_April,17,@lisasamples
0,1548641597,Fri Apr 17 21:32:02 PDT 2009,NO_QUERY,MissLaura317,"@xoh_snap June 16th!  So far away. I'm excited! BUT I might go alone, even though I bought two tix. Sadness. ",2531,155,4/17/2009 21:32,4,Friday,April,2009,2009_April,17,@xoh_snap
0,1550679791,Sat Apr 18 06:55:24 PDT 2009,NO_QUERY,caseysevenfold,beddies now. Nighty night. My head hurts ,1775,25,4/18/2009 6:55,5,Saturday,April,2009,2009_April,18,beddies
0,1550751619,Sat Apr 18 07:09:32 PDT 2009,NO_QUERY,amazingphoebe,fhrjekdfnb where are youuuu? ,1590,217,4/18/2009 7:09,5,Saturday,April,2009,2009_April,18,fhrjekdfnb
0,1550818122,Sat Apr 18 07:21:09 PDT 2009,NO_QUERY,MissLaura317,"I hate ppl. I hate ppl who tear down trees. I hate ppl who tear down trees for unnecessary construction. Decades of growth, gone. Ughh. ",2482,259,4/18/2009 7:21,5,Saturday,April,2009,2009_April,18,ppl
0,1550900222,Sat Apr 18 07:35:00 PDT 2009,NO_QUERY,amazingphoebe,MY INTERNET IS SOMEWHAT WORKING! I want seb ,1848,271,4/18/2009 7:35,5,Saturday,April,2009,2009_April,18,INTERNET
0,1550992159,Sat Apr 18 07:50:49 PDT 2009,NO_QUERY,amazingphoebe,12.20 and still nothing ,662,68,4/18/2009 7:50,5,Saturday,April,2009,2009_April,18,nothing
0,1551085750,Sat Apr 18 08:06:33 PDT 2009,NO_QUERY,pearlbones,totally need the toilet. got told my ben and jerrys failed at life ,2967,58,4/18/2009 8:06,5,Saturday,April,2009,2009_April,18,toilet
0,1551085874,Sat Apr 18 08:06:34 PDT 2009,NO_QUERY,Sims_Galore,damn missed #F1 Qualifying! Fell Asleep before 6am!!!!! ,355,7,4/18/2009 8:06,5,Saturday,April,2009,2009_April,18,F1 Qualifying
0,1551303198,Sat Apr 18 08:41:47 PDT 2009,NO_QUERY,amazingphoebe,"@sebby_peek with someone  I know I hurt you, and that's why I'm sorry ",1743,177,4/18/2009 8:41,5,Saturday,April,2009,2009_April,18,@sebby_peek
0,1551396036,Sat Apr 18 08:56:55 PDT 2009,NO_QUERY,damohopo,@Jason_Manford that's banned from my house for being 'trash'  I'm so weak,2224,207,4/18/2009 8:56,5,Saturday,April,2009,2009_April,18,@Jason_Manford
0,1551583923,Sat Apr 18 09:26:32 PDT 2009,NO_QUERY,amazingphoebe,"@sebby_peek don't, please  I haven't spoken to him! in all the times I've known him, I have never had the chance to be alone with him!",2652,283,4/18/2009 9:26,5,Saturday,April,2009,2009_April,18,@sebby_peek
0,1551745337,Sat Apr 18 09:51:53 PDT 2009,NO_QUERY,amazingphoebe,"@sebby_peek I don't think I want to get it sebby, I'm really scared  don't say that  I love you so much  xoxox",2469,141,4/18/2009 9:51,5,Saturday,April,2009,2009_April,18,@sebby_peek
0,1551799745,Sat Apr 18 10:00:20 PDT 2009,NO_QUERY,amazingphoebe,"@sebby_peek I didnt have a choice, she was trying to get you against me, she told me she'd do it too  she's a cunt, she doesn't care, and",2977,80,4/18/2009 10:00,5,Saturday,April,2009,2009_April,18,cunt
0,1551896853,Sat Apr 18 10:15:20 PDT 2009,NO_QUERY,amazingphoebe,"@sebby_peek but you didn't and I'm scared oneday you just won't say it again  but what about when you've hurt me, it hasn't made me want t",2517,77,4/18/2009 10:15,5,Saturday,April,2009,2009_April,18,oneday
0,1551927574,Sat Apr 18 10:20:11 PDT 2009,NO_QUERY,amazingphoebe,"@sebby_peek okay, goodnight, I love you so much xxxx I'm sorry, too ",2022,34,4/18/2009 10:20,5,Saturday,April,2009,2009_April,18,@sebby_peek
0,1551973433,Sat Apr 18 10:27:21 PDT 2009,NO_QUERY,jemjem1983,"@_ophelia danny wasn't there  just angela, craig and Robert!! Was a great day though ",2280,166,4/18/2009 10:27,5,Saturday,April,2009,2009_April,18,@_ophelia danny
0,1552033385,Sat Apr 18 10:36:46 PDT 2009,NO_QUERY,amazingphoebe,"@sebby_peek I kind of have to, for myself  you don't like me though  sweet dreams love  xoxoxoxoxox",1549,133,4/18/2009 10:36,5,Saturday,April,2009,2009_April,18,@sebby_peek
0,1553636818,Sat Apr 18 14:48:17 PDT 2009,NO_QUERY,zenjar,Where'd that mr pepper dude go  (via #zenjar ),288,38,4/18/2009 14:48,5,Saturday,April,2009,2009_April,18,pepper dude go
0,1553852571,Sat Apr 18 15:23:17 PDT 2009,NO_QUERY,Boddingtons,@triplepatte what's wrong? ,2697,182,4/18/2009 15:23,5,Saturday,April,2009,2009_April,18,@triplepatte
0,1554066554,Sat Apr 18 15:58:40 PDT 2009,NO_QUERY,scribblegurl,@calliean i have no idea what that's in reference to. ,369,90,4/18/2009 15:58,5,Saturday,April,2009,2009_April,18,@calliean
0,1554133453,Sat Apr 18 16:09:37 PDT 2009,NO_QUERY,hellorachael,@frazj http://twitpic.com/3eh4y - i wish i was still on holiday ,861,73,4/18/2009 16:09,5,Saturday,April,2009,2009_April,18,@frazj
